source_field	include_value	exclude_value	filter_group_id	comments
dataset_name		SHARK_Zoobenthos_2013_LNU_KALMAR		
dataset_name		SHARK_Zoobenthos_2013_MEDINS		
dataset_name		SHARK_Zoobenthos_2013_PAG_Fladen		
dataset_name		SHARK_Zoobenthos_2013_PAG_HallandsKVK		
dataset_name		SHARK_Zoobenthos_2013_PAG_Hallandvatten		
dataset_name		SHARK_Zoobenthos_2013_PAG_Kungsbackafjorden		
dataset_name		SHARK_Zoobenthos_2013_PAG_Kungsbackanatur		
dataset_name		SHARK_Zoobenthos_2013_PAG_Lilla_middelgrund		
dataset_name		SHARK_Zoobenthos_2013_PAG_Nidingen		
dataset_name		SHARK_Zoobenthos_2013_PELA_YNR_Kopmanholmen		
dataset_name		SHARK_Zoobenthos_2013_PELA_YNR_Vasternorrland		
dataset_name	SHARK_Zoobenthos_2013_SLC-K			
dataset_name		SHARK_Zoobenthos_2013_TOXICO		
dataset_name		SHARK_Zoobenthos_2013_TOXICO_NVSKK		
#dataset_name		SHARK_Zoobenthos_2013_UMSC_Boliden		Borttaget paket pga omleverans
#dataset_name		SHARK_Zoobenthos_2013_UMSC_SSAB		Borttaget paket pga omleverans
dataset_name		SHARK_Zoobenthos_2014_BDLST_Kalix		
dataset_name		SHARK_Zoobenthos_2014_BDLST_Pitea		
dataset_name	SHARK_Zoobenthos_2014_DEEP			
dataset_name		SHARK_Zoobenthos_2014_DEEP_ELST		
dataset_name		SHARK_Zoobenthos_2014_DEEP_ILSTa		
dataset_name		SHARK_Zoobenthos_2014_DEEP_ILSTb		
dataset_name		SHARK_Zoobenthos_2014_DEEP_RegStlm		
dataset_name		SHARK_Zoobenthos_2014_HBGMILJO		
dataset_name		SHARK_Zoobenthos_2014_LNU_KLKK		
dataset_name		SHARK_Zoobenthos_2014_PAG_HAL		
dataset_name		SHARK_Zoobenthos_2014_PAG_Hallandvatten		
dataset_name		SHARK_Zoobenthos_2014_PAG_Kungsbackafjorden		
dataset_name		SHARK_Zoobenthos_2014_PAG_Kungsbackanatur		
dataset_name		SHARK_Zoobenthos_2014_PELA_STV		
dataset_name		SHARK_Zoobenthos_2014_PELA_YNR_Kopmanholmen		
dataset_name		SHARK_Zoobenthos_2014_PELA_YNR_Vasternorrland		
dataset_name	SHARK_Zoobenthos_2014_SLC-T			
dataset_name		SHARK_Zoobenthos_2014_TOXICO		
dataset_name		SHARK_Zoobenthos_2014_TOXICO_NVSKK		
#dataset_name		SHARK_Zoobenthos_2014_UMSC_SSAB		Borttaget paket pga omleverans
dataset_name	SHARK_Zoobenthos_2015_2021_UMSC			
dataset_name		SHARK_Zoobenthos_2015_2021_UMSC_Boliden		
dataset_name		SHARK_Zoobenthos_2015_2021_UMSC_REG		
dataset_name		SHARK_Zoobenthos_2015_BDLST_Kalix		
dataset_name		SHARK_Zoobenthos_2015_BDLST_Pitea		
dataset_name	SHARK_Zoobenthos_2015_DEEP			
dataset_name		SHARK_Zoobenthos_2015_DEEP_ABLST		
dataset_name		SHARK_Zoobenthos_2015_DEEP_ELST		
dataset_name		SHARK_Zoobenthos_2015_DEEP_ELST_musslor		
dataset_name		SHARK_Zoobenthos_2015_HBGMILJO		
dataset_name		SHARK_Zoobenthos_2015_MEDINS_BKVF		
dataset_name		SHARK_Zoobenthos_2015_MEDINS_MLST		
dataset_name		SHARK_Zoobenthos_2015_MEDINS_MSV		
dataset_name		SHARK_Zoobenthos_2015_MMAB		
dataset_name		SHARK_Zoobenthos_2015_PAG_NLST_HallandsKVK		
dataset_name		SHARK_Zoobenthos_2015_PAG_NLST_Kungsbacka		
dataset_name		SHARK_Zoobenthos_2015_PAG_NLST_Kungsbackanatur		
dataset_name		SHARK_Zoobenthos_2015_PAG_NLST_Laholm		
dataset_name		SHARK_Zoobenthos_2015_PELA_YNR_Kopmanholmen		
dataset_name		SHARK_Zoobenthos_2015_PELA_YNR_Vasternorrland		
dataset_name	SHARK_Zoobenthos_2015_SLC-T			
dataset_name		SHARK_Zoobenthos_2015_TOXICO_NVSKK		
#dataset_name		SHARK_Zoobenthos_2015_UMSC_SSAB		Borttaget paket pga omleverans
#dataset_name		SHARK_Zoobenthos_2015_UMSC_YLST		Borttaget paket pga omleverans
dataset_name		SHARK_Zoobenthos_2016_BDLST_Pitea		
dataset_name	SHARK_Zoobenthos_2016_DEEP			
dataset_name		SHARK_Zoobenthos_2016_DEEP_ACLST		
dataset_name		SHARK_Zoobenthos_2016_DEEP_DLST		
dataset_name		SHARK_Zoobenthos_2016_DEEP_ILST		
dataset_name		SHARK_Zoobenthos_2016_HBGMILJO		
dataset_name	SHARK_Zoobenthos_2016_LNU			
dataset_name		SHARK_Zoobenthos_2016_LNU_Kalmar		
dataset_name		SHARK_Zoobenthos_2016_LNU_Kalmar_KVK		
dataset_name		SHARK_Zoobenthos_2016_MEDINS_BKVF_VHVVF		
dataset_name		SHARK_Zoobenthos_2016_MEDINS_MLST		
dataset_name		SHARK_Zoobenthos_2016_NIRAS_OVF		
dataset_name		SHARK_Zoobenthos_2016_PAG_NLST_Hallandinvent		
dataset_name		SHARK_Zoobenthos_2016_PAG_NLST_HallandinventKust		
dataset_name		SHARK_Zoobenthos_2016_PAG_NLST_HallandsKVK		
dataset_name		SHARK_Zoobenthos_2016_PAG_NLST_Hallandvatten		
dataset_name		SHARK_Zoobenthos_2016_PAG_NLST_Kungsbacka		
dataset_name		SHARK_Zoobenthos_2016_PAG_NLST_Kungsbackanatur		
